field_1,field_2,field_3,field_4,field_5,id,n,distance,feature_x,feature_y,nearest_x,nearest_y
true,81555,0,12.337617000000000,44.317894000000003,,1,0.000000027662399,12.337617000000000,44.317894000000003,12.337616997317912,44.317893972467935
true,81564,0,12.340201000000000,44.317641999999999,,1,0.000000245854579,12.340201000000000,44.317641999999999,12.340201023837542,44.317642244696231
true,81565,0,12.343014000000000,44.318953999999998,,1,0.000000527730995,12.343014000000000,44.318953999999998,12.343013760000000,44.318954470000001
true,82234,0,12.622019999999999,44.436427999999999,,1,0.000000240416305,12.622019999999999,44.436427999999999,12.622019770000000,44.436428069999998
true,82466,0,12.458043999999999,44.345866999999998,,1,0.000000151497143,12.458043999999999,44.345866999999998,12.458043978942653,44.345867150026571
true,82467,0,12.468893000000000,44.347752000000000,,1,0.000206268098863,12.468893000000000,44.347752000000000,12.468853892325434,44.347954526833774
true,82758,0,12.386175000000000,44.330441000000000,,1,0.000087785863683,12.386175000000000,44.330441000000000,12.386149511674056,44.330525004185034
true,82759,0,12.380300999999999,44.328750999999997,,1,0.000000493916336,12.380300999999999,44.328750999999997,12.380301118687912,44.328750520556021
true,83242,0,12.544286000000000,44.399670000000000,,1,0.000000345729040,12.544286000000000,44.399670000000000,12.544286006331744,44.399669654328946
true,83243,0,12.535073000000001,44.388351000000000,,1,0.000000048289616,12.535073000000001,44.388351000000000,12.535072961835395,44.388351029586310
true,83690,0,12.363908000000000,44.323008999999999,,1,0.000000521393508,12.363908000000000,44.323008999999999,12.363907873990646,44.323009505937577
true,83794,0,12.526339999999999,44.377087000000003,,1,0.000000600000001,12.526339999999999,44.377087000000003,12.526340480000000,44.377086640000002
true,83936,0,12.414638999999999,44.334591000000003,,1,0.000045056372317,12.414638999999999,44.334591000000003,12.414628772961329,44.334634880341461
true,84018,0,12.359190999999999,44.321922000000001,,1,0.000000305769481,12.359190999999999,44.321922000000001,12.359190930023900,44.321922297654702
true,84077,0,12.422706000000000,44.336517000000001,,1,0.000000409113325,12.422706000000000,44.336517000000001,12.422705894471408,44.336517395268807
true,84175,0,12.518205000000000,44.366104000000000,,1,0.000000326479495,12.518205000000000,44.366104000000000,12.518204737661877,44.366104194338803
true,84483,0,12.354777000000000,44.320884999999997,,1,0.000000350287405,12.354777000000000,44.320884999999997,12.354777055748347,44.320884654177227
true,84644,0,12.501925999999999,44.365993000000003,,1,0.000000013618191,12.501925999999999,44.365993000000003,12.501926010607917,44.365992991460253
true,84691,0,12.406485999999999,44.332737000000002,,1,0.000000070655637,12.406485999999999,44.332737000000002,12.406485983962359,44.332737068811433
true,84967,0,12.480762000000000,44.350254000000000,,1,0.000000032094512,12.480762000000000,44.350254000000000,12.480762006085005,44.350253968487614
true,85086,0,12.431025000000000,44.338501000000001,,1,0.000229389782956,12.431025000000000,44.338501000000001,12.430965830133694,44.338722627163150
true,85340,0,12.439795000000000,44.341079999999998,,1,0.000000089067164,12.439795000000000,44.341079999999998,12.439795034517360,44.341079917893289
true,85428,0,12.350352000000001,44.320171000000002,,1,0.000000414825634,12.350352000000001,44.320171000000002,12.350352090955276,44.320171404731326
true,86015,0,12.373675000000000,44.327109999999998,,1,0.000000073071994,12.373675000000000,44.327109999999998,12.373674963030810,44.327110063030112
true,86041,0,12.346973999999999,44.320929999999997,,1,0.000000373400383,12.346973999999999,44.320929999999997,12.346973907514579,44.320930361765519
true,86221,0,12.397658000000000,44.330967000000001,,1,0.000000009330626,12.397658000000000,44.330967000000001,12.397658001562860,44.330967009198808
true,86271,0,12.608903000000000,44.418900000000001,,1,0.000000219557043,12.608903000000000,44.418900000000001,12.608903175787814,44.418899868455561
true,86458,0,12.493570000000000,44.355614000000003,,1,0.000000394910752,12.493570000000000,44.355614000000003,12.493570152447109,44.355613635700152
true,87352,0,12.563862000000000,44.400027999999999,,1,0.000000274590602,12.563862000000000,44.400027999999999,12.563861850000000,44.400028229999997
true,87379,0,12.368732000000000,44.324210999999998,,1,0.000000007687672,12.368732000000000,44.324210999999998,12.368731998142058,44.324211007459787
true,87807,0,12.391214000000000,44.332062000000001,,1,0.000000327520189,12.391214000000000,44.332062000000001,12.391214095094369,44.332061686588872
true,87915,0,12.447742999999999,44.344420999999997,,1,0.000000196754054,12.447742999999999,44.344420999999997,12.447742923749335,44.344421181378038
true,88093,0,12.573676000000001,44.411495000000002,,1,0.000000052978501,12.573676000000001,44.411495000000002,12.573675959750448,44.411495034448443
true,88447,0,12.344274000000000,44.320239999999998,,1,0.000000125881075,12.344274000000000,44.320239999999998,12.344273968821232,44.320240121958719
true,88495,0,12.591722000000001,44.411205000000002,,1,0.000000456767291,12.591722000000001,44.411205000000002,12.591721813313372,44.411205416874637
